Rk,Tm,Year,Date,Time,LTime,At.Symbol,Opp,Week,Game,Day,Result,OT,WinDiff,CombinedRating,OTToss
1,ARI,2011,2012-01-01,4:15,2:15,,SEA,17,16,Sun,W 23-20,OT,1.0,-3.0,SEA
2,SEA,2011,2012-01-01,4:15,2:15,@,ARI,17,16,Sun,L 20-23,OT,-1.0,3.0,SEA
3,KAN,2011,2011-12-24,1:03,12:03,,OAK,16,15,Sat,L 13-16,OT,-1.0,-3.1999999999999993,OAK
4,OAK,2011,2011-12-24,1:03,12:03,@,KAN,16,15,Sat,W 16-13,OT,1.0,3.1999999999999993,OAK
5,CLE,2011,2011-12-18,4:15,2:15,@,ARI,15,14,Sun,L 17-20,OT,-4.0,-3.2,CLE
6,ARI,2011,2011-12-18,4:15,2:15,,CLE,15,14,Sun,W 20-17,OT,4.0,3.2,CLE
7,CHI,2011,2011-12-11,4:05,2:05,@,DEN,14,13,Sun,L 10-13,OT,0.0,6.9,CHI
8,DEN,2011,2011-12-11,4:05,2:05,,CHI,14,13,Sun,W 13-10,OT,0.0,-6.9,CHI
9,ARI,2011,2011-12-04,4:15,2:15,,DAL,13,12,Sun,W 19-13,OT,0.0,-3.8,ARI
10,DAL,2011,2011-12-04,4:15,2:15,@,ARI,13,12,Sun,L 13-19,OT,0.0,3.8,ARI
11,DEN,2011,2011-11-27,4:15,1:15,@,SDG,12,11,Sun,W 16-13,OT,0.0,-6.2,DEN
12,SDG,2011,2011-11-27,4:15,1:15,,DEN,12,11,Sun,L 13-16,OT,0.0,6.2,DEN
13,DAL,2011,2011-11-20,1:03,1:03,@,WAS,11,10,Sun,W 27-24,OT,3.0,5.7,WAS
14,WAS,2011,2011-11-20,1:03,1:03,,DAL,11,10,Sun,L 24-27,OT,-3.0,-5.7,WAS
15,ATL,2011,2011-11-13,1:03,1:03,,NOR,10,9,Sun,L 23-26,OT,-3.0,-7.9,ATL
16,NOR,2011,2011-11-13,1:03,1:03,@,ATL,10,10,Sun,W 26-23,OT,3.0,7.9,ATL
17,ARI,2011,2011-11-06,4:15,2:15,,STL,9,8,Sun,W 19-13,OT,6.0,8.3,STL
18,STL,2011,2011-11-06,4:15,2:15,@,ARI,9,8,Sun,L 13-19,OT,-6.0,-8.3,STL
19,KAN,2011,2011-10-31,8:40,7:40,,SDG,8,7,Mon,W 23-20,OT,-1.0,-8.999999999999998,SDG
20,SDG,2011,2011-10-31,8:40,7:40,@,KAN,8,7,Mon,L 20-23,OT,1.0,8.999999999999998,SDG
21,DEN,2011,2011-10-23,1:02,1:02,@,MIA,7,6,Sun,W 18-15,OT,2.0,-6.300000000000001,MIA
22,MIA,2011,2011-10-23,1:02,1:02,,DEN,7,6,Sun,L 15-18,OT,-2.0,6.300000000000001,MIA
23,DET,2011,2011-09-25,1:05,12:05,@,MIN,3,3,Sun,W 26-23,OT,7.0,11.8,DET
24,MIN,2011,2011-09-25,1:05,12:05,,DET,3,3,Sun,L 23-26,OT,-7.0,-11.8,DET
25,DAL,2011,2011-09-18,4:05,1:05,@,SFO,2,2,Sun,W 27-24,OT,-5.0,-6.699999999999999,SFO
26,SFO,2011,2011-09-18,4:05,1:05,,DAL,2,2,Sun,L 24-27,OT,5.0,6.699999999999999,SFO
27,JAX,2010,2010-12-26,1:03,1:03,,WAS,16,15,Sun,L 17-20,OT,2.0,-0.5999999999999999,JAX
28,WAS,2010,2010-12-26,1:03,1:03,@,JAX,16,15,Sun,W 20-17,OT,-2.0,0.5999999999999999,JAX
29,DET,2010,2010-12-19,1:03,1:03,@,TAM,15,14,Sun,W 23-20,OT,-4.0,2.5,DET
30,TAM,2010,2010-12-19,1:03,1:03,,DET,15,14,Sun,L 20-23,OT,4.0,-2.5,DET
31,HOU,2010,2010-12-13,8:40,7:40,,BAL,14,13,Mon,L 28-34,OT,-6.0,-8.3,BAL
32,BAL,2010,2010-12-13,8:40,7:40,@,HOU,14,13,Mon,W 34-28,OT,6.0,8.3,BAL
33,IND,2010,2010-12-05,4:15,4:15,,DAL,13,12,Sun,L 35-38,OT,4.0,5.0,IND
34,DAL,2010,2010-12-05,4:15,4:15,@,IND,13,12,Sun,W 38-35,OT,-4.0,-5.0,IND
35,BUF,2010,2010-11-28,1:02,1:02,,PIT,12,11,Sun,L 16-19,OT,-8.0,-14.799999999999999,BUF
36,PIT,2010,2010-11-28,1:02,1:02,@,BUF,12,11,Sun,W 19-16,OT,8.0,14.799999999999999,BUF
37,TEN,2010,2010-11-21,1:03,12:03,,WAS,11,10,Sun,L 16-19,OT,0.0,4.8999999999999995,TEN
38,WAS,2010,2010-11-21,1:03,12:03,@,TEN,11,10,Sun,W 19-16,OT,0.0,-4.8999999999999995,TEN
39,CLE,2010,2010-11-14,1:02,1:02,,NYJ,10,9,Sun,L 20-26,OT,-6.0,-7.8,NYJ
40,NYJ,2010,2010-11-14,1:02,1:02,@,CLE,10,9,Sun,W 26-20,OT,6.0,7.8,NYJ
41,STL,2010,2010-11-14,4:15,1:15,@,SFO,10,9,Sun,L 20-23,OT,1.0,-0.8999999999999995,STL
42,SFO,2010,2010-11-14,4:15,1:15,,STL,10,9,Sun,W 23-20,OT,-1.0,0.8999999999999995,STL
43,ARI,2010,2010-11-07,1:05,12:05,@,MIN,9,8,Sun,L 24-27,OT,-1.0,-11.1,ARI
44,DET,2010,2010-11-07,1:03,1:03,,NYJ,9,8,Sun,L 20-23,OT,-5.0,-4.5,NYJ
45,KAN,2010,2010-11-07,4:15,1:15,@,OAK,9,8,Sun,L 20-23,OT,2.0,-0.7999999999999996,KAN
46,MIN,2010,2010-11-07,1:05,12:05,,ARI,9,8,Sun,W 27-24,OT,1.0,11.1,ARI
47,NYJ,2010,2010-11-07,1:03,1:03,@,DET,9,8,Sun,W 23-20,OT,5.0,4.5,NYJ
48,OAK,2010,2010-11-07,4:15,1:15,,KAN,9,9,Sun,W 23-20,OT,-2.0,0.7999999999999996,KAN
49,BUF,2010,2010-10-31,1:08,12:08,@,KAN,8,7,Sun,L 10-13,OT,-6.0,-3.9,BUF
50,KAN,2010,2010-10-31,1:08,12:08,,BUF,8,7,Sun,W 13-10,OT,6.0,3.9,BUF
51,BUF,2010,2010-10-24,1:02,1:02,@,BAL,7,6,Sun,L 34-37,OT,-8.0,-11.0,BAL
52,BAL,2010,2010-10-24,1:02,1:02,,BUF,7,7,Sun,W 37-34,OT,8.0,11.0,BAL
53,GNB,2010,2010-10-17,1:02,12:02,,MIA,6,6,Sun,L 20-23,OT,3.0,10.7,MIA
54,MIA,2010,2010-10-17,1:02,12:02,@,GNB,6,5,Sun,W 23-20,OT,-3.0,-10.7,MIA
55,NWE,2010,2010-10-17,1:02,1:02,,BAL,6,5,Sun,W 23-20,OT,2.0,9.0,BAL
56,BAL,2010,2010-10-17,1:02,1:02,@,NWE,6,6,Sun,L 20-23,OT,-2.0,-9.0,BAL
57,GNB,2010,2010-10-10,1:02,1:02,@,WAS,5,5,Sun,L 13-16,OT,4.0,14.9,GNB
58,WAS,2010,2010-10-10,1:02,1:02,,GNB,5,5,Sun,W 16-13,OT,-4.0,-14.9,GNB
59,ATL,2010,2010-09-26,1:03,12:03,@,NOR,3,3,Sun,W 27-24,OT,2.0,3.7,ATL
60,NOR,2010,2010-09-26,1:03,12:03,,ATL,3,3,Sun,L 24-27,OT,-2.0,-3.7,ATL
61,HOU,2010,2010-09-19,4:15,4:15,@,WAS,2,2,Sun,W 30-27,OT,0.0,1.9999999999999996,HOU
62,WAS,2010,2010-09-19,4:15,4:15,,HOU,2,2,Sun,L 27-30,OT,0.0,-1.9999999999999996,HOU
63,ATL,2010,2010-09-12,1:02,1:02,@,PIT,1,1,Sun,L 9-15,OT,1.0,-4.2,ATL
64,PIT,2010,2010-09-12,1:02,1:02,,ATL,1,1,Sun,W 15-9,OT,-1.0,4.2,ATL
65,CHI,2009,2009-12-28,8:40,7:40,,MIN,16,15,Mon,W 36-30,OT,-5.0,-11.1,CHI
66,MIN,2009,2009-12-28,8:40,7:40,@,CHI,16,15,Mon,L 30-36,OT,5.0,11.1,CHI
67,NOR,2009,2009-12-27,1:03,12:03,,TAM,16,15,Sun,L 17-20,OT,10.0,16.4,TAM
68,TAM,2009,2009-12-27,1:03,12:03,@,NOR,16,15,Sun,W 20-17,OT,-10.0,-16.4,TAM
69,MIA,2009,2009-12-20,1:02,12:02,@,TEN,15,14,Sun,L 24-27,OT,-1.0,4.4,MIA
70,TEN,2009,2009-12-20,1:02,12:02,,MIA,15,14,Sun,W 27-24,OT,1.0,-4.4,MIA
71,NOR,2009,2009-12-06,1:03,1:03,@,WAS,13,12,Sun,W 33-30,OT,9.0,15.2,WAS
72,WAS,2009,2009-12-06,1:03,1:03,,NOR,13,12,Sun,L 30-33,OT,-9.0,-15.2,WAS
73,PIT,2009,2009-11-29,8:30,8:30,@,BAL,12,11,Sun,L 17-20,OT,0.0,-5.800000000000001,PIT
74,BAL,2009,2009-11-29,8:30,8:30,,PIT,12,11,Sun,W 20-17,OT,0.0,5.800000000000001,PIT
75,ATL,2009,2009-11-22,1:03,1:03,@,NYG,11,10,Sun,L 31-34,OT,1.0,4.9,NYG
76,KAN,2009,2009-11-22,1:00,12:00,,PIT,11,10,Sun,W 27-24,OT,-5.0,-10.100000000000001,PIT
77,NYG,2009,2009-11-22,1:03,1:03,,ATL,11,10,Sun,W 34-31,OT,-1.0,-4.9,NYG
78,PIT,2009,2009-11-22,1:00,12:00,@,KAN,11,10,Sun,L 24-27,OT,5.0,10.100000000000001,PIT
79,BUF,2009,2009-10-18,4:15,4:15,@,NYJ,6,6,Sun,W 16-13,OT,-3.0,-10.4,NYJ
80,JAX,2009,2009-10-18,1:03,1:03,,STL,6,6,Sun,W 23-20,OT,6.0,11.1,JAX
81,NYJ,2009,2009-10-18,4:15,4:15,,BUF,6,6,Sun,L 13-16,OT,3.0,10.4,NYJ
82,STL,2009,2009-10-18,1:03,1:03,@,JAX,6,6,Sun,L 20-23,OT,-6.0,-11.1,JAX
83,DAL,2009,2009-10-11,1:00,12:00,@,KAN,5,5,Sun,W 26-20,OT,7.0,15.5,KAN
84,DEN,2009,2009-10-11,4:16,2:16,,NWE,5,5,Sun,W 20-17,OT,-2.0,-10.9,DEN
85,KAN,2009,2009-10-11,1:00,12:00,,DAL,5,5,Sun,L 20-26,OT,-7.0,-15.5,KAN
86,NWE,2009,2009-10-11,4:16,2:16,@,DEN,5,5,Sun,L 17-20,OT,2.0,10.9,DEN
87,CIN,2009,2009-10-04,1:03,1:03,@,CLE,4,4,Sun,W 23-20,OT,5.0,9.1,CIN
88,CLE,2009,2009-10-04,1:03,1:03,,CIN,4,4,Sun,L 20-23,OT,-5.0,-9.1,CIN
89,TEN,2009,2009-09-10,8:41,8:41,@,PIT,1,1,Thu,L 10-13,OT,-1.0,-4.3999999999999995,PIT
90,PIT,2009,2009-09-10,8:41,8:41,,TEN,1,1,Thu,W 13-10,OT,1.0,4.3999999999999995,PIT
91,CHI,2008,2008-12-22,8:40,7:40,,GNB,16,15,Mon,W 20-17,OT,3.0,-0.7999999999999998,CHI
92,GNB,2008,2008-12-22,8:40,7:40,@,CHI,16,15,Mon,L 17-20,OT,-3.0,0.7999999999999998,CHI
93,CAR,2008,2008-12-21,8:23,8:23,@,NYG,16,15,Sun,L 28-34,OT,0.0,-2.6,NYG
94,NYG,2008,2008-12-21,8:23,8:23,,CAR,16,15,Sun,W 34-28,OT,0.0,2.6,NYG
95,ATL,2008,2008-12-14,1:03,1:03,,TAM,15,14,Sun,W 13-10,OT,2.0,1.5000000000000002,TAM
96,TAM,2008,2008-12-14,1:03,1:03,@,ATL,15,14,Sun,L 10-13,OT,-2.0,-1.5000000000000002,TAM
97,CHI,2008,2008-12-11,8:14,7:14,,NOR,15,14,Thu,W 27-24,OT,1.0,-1.9,CHI
98,NOR,2008,2008-12-11,8:14,7:14,@,CHI,15,14,Thu,L 24-27,OT,-1.0,1.9,CHI
99,CIN,2008,2008-11-16,1:03,1:03,,PHI,11,10,Sun,T 13-13,OT,-5.0,-14.900000000000002,PHI
100,PHI,2008,2008-11-16,1:03,1:03,@,CIN,11,10,Sun,T 13-13,OT,5.0,14.900000000000002,PHI
101,NWE,2008,2008-11-13,8:15,8:15,,NYJ,11,10,Thu,L 31-34,OT,2.0,3.599999999999999,NYJ
102,NYJ,2008,2008-11-13,8:15,8:15,@,NWE,11,10,Thu,W 34-31,OT,-2.0,-3.599999999999999,NYJ
103,GNB,2008,2008-11-02,1:02,12:02,@,TEN,9,8,Sun,L 16-19,OT,-7.0,-6.1000000000000005,TEN
104,KAN,2008,2008-11-02,1:03,12:03,,TAM,9,8,Sun,L 27-30,OT,-7.0,-11.5,TAM
105,TEN,2008,2008-11-02,1:02,12:02,,GNB,9,8,Sun,W 19-16,OT,7.0,6.1000000000000005,TEN
106,TAM,2008,2008-11-02,1:03,12:03,@,KAN,9,9,Sun,W 30-27,OT,7.0,11.5,TAM
107,NYJ,2008,2008-10-19,4:15,1:15,@,OAK,7,6,Sun,L 13-16,OT,4.0,7.8,NYJ
108,OAK,2008,2008-10-19,4:15,1:15,,NYJ,7,6,Sun,W 16-13,OT,-4.0,-7.8,NYJ
109,ARI,2008,2008-10-12,4:15,1:15,,DAL,6,6,Sun,W 30-24,OT,0.0,-2.4000000000000004,DAL
110,DAL,2008,2008-10-12,4:15,1:15,@,ARI,6,6,Sun,L 24-30,OT,0.0,2.4000000000000004,DAL
111,PIT,2008,2008-09-29,8:40,8:40,,BAL,4,4,Mon,W 23-20,OT,1.0,-4.440892098500626E-16,BAL
112,BAL,2008,2008-09-29,8:40,8:40,@,PIT,4,3,Mon,L 20-23,OT,-1.0,4.440892098500626E-16,BAL
113,HOU,2008,2008-09-28,1:02,1:02,@,JAX,4,3,Sun,L 27-30,OT,3.0,2.0999999999999996,JAX
114,JAX,2008,2008-09-28,1:02,1:02,,HOU,4,4,Sun,W 30-27,OT,-3.0,-2.0999999999999996,JAX
115,CHI,2008,2008-09-21,1:02,12:02,,TAM,3,3,Sun,L 24-27,OT,0.0,-0.19999999999999973,TAM
116,CIN,2008,2008-09-21,1:02,1:02,@,NYG,3,3,Sun,L 23-26,OT,-8.0,-15.299999999999999,NYG
117,NYG,2008,2008-09-21,1:02,1:02,,CIN,3,3,Sun,W 26-23,OT,8.0,15.299999999999999,NYG
118,TAM,2008,2008-09-21,1:02,12:02,@,CHI,3,3,Sun,W 27-24,OT,0.0,0.19999999999999973,TAM
119,SEA,2008,2008-09-14,4:06,1:06,,SFO,2,2,Sun,L 30-33,OT,-3.0,-2.4000000000000004,SFO
120,SFO,2008,2008-09-14,4:06,1:06,@,SEA,2,2,Sun,W 33-30,OT,3.0,2.4000000000000004,SFO
121,DEN,2007,2007-12-30,4:16,2:16,,MIN,17,16,Sun,W 22-19,OT,-1.0,-7.799999999999999,MIN
122,KAN,2007,2007-12-30,4:15,4:15,@,NYJ,17,16,Sun,L 10-13,OT,0.0,-1.7999999999999998,NYJ
123,MIN,2007,2007-12-30,4:16,2:16,@,DEN,17,16,Sun,L 19-22,OT,1.0,7.799999999999999,MIN
124,NYJ,2007,2007-12-30,4:15,4:15,,KAN,17,16,Sun,W 13-10,OT,0.0,1.7999999999999998,NYJ
125,ATL,2007,2007-12-23,4:05,2:05,@,ARI,16,15,Sun,L 27-30,OT,-4.0,-6.599999999999999,ARI
126,ARI,2007,2007-12-23,4:05,2:05,,ATL,16,15,Sun,W 30-27,OT,4.0,6.599999999999999,ARI
127,MIA,2007,2007-12-16,1:03,1:03,,BAL,15,14,Sun,W 22-16,OT,-4.0,-1.5,BAL
128,BAL,2007,2007-12-16,1:03,1:03,@,MIA,15,14,Sun,L 16-22,OT,4.0,1.5,BAL
129,TEN,2007,2007-12-09,1:02,12:02,,SDG,14,13,Sun,L 17-23,OT,-1.0,-8.1,SDG
130,SDG,2007,2007-12-09,1:02,12:02,@,TEN,14,13,Sun,W 23-17,OT,1.0,8.1,SDG
131,CHI,2007,2007-11-25,4:16,3:16,,DEN,12,11,Sun,W 37-34,OT,0.0,5.199999999999999,CHI
132,ARI,2007,2007-11-25,4:06,2:06,,SFO,12,11,Sun,L 31-37,OT,3.0,7.9,ARI
133,DEN,2007,2007-11-25,4:16,3:16,@,CHI,12,11,Sun,L 34-37,OT,0.0,-5.199999999999999,CHI
134,SFO,2007,2007-11-25,4:06,2:06,@,ARI,12,11,Sun,W 37-31,OT,-3.0,-7.9,ARI
135,CLE,2007,2007-11-18,1:02,1:02,@,BAL,11,10,Sun,W 33-30,OT,5.0,5.7,CLE
136,NYJ,2007,2007-11-18,4:05,4:05,,PIT,11,10,Sun,W 19-16,OT,-6.0,-8.9,NYJ
137,PIT,2007,2007-11-18,4:05,4:05,@,NYJ,11,10,Sun,L 16-19,OT,6.0,8.9,NYJ
138,BAL,2007,2007-11-18,1:02,1:02,,CLE,11,10,Sun,L 30-33,OT,-5.0,-5.7,CLE
139,CLE,2007,2007-11-04,4:06,4:06,,SEA,9,8,Sun,W 33-30,OT,0.0,-2.7999999999999994,SEA
140,NYJ,2007,2007-11-04,1:02,1:02,,WAS,9,9,Sun,L 20-23,OT,-5.0,-8.200000000000001,NYJ
141,SEA,2007,2007-11-04,4:06,4:06,@,CLE,9,8,Sun,L 30-33,OT,0.0,2.7999999999999994,SEA
142,WAS,2007,2007-11-04,1:02,1:02,@,NYJ,9,8,Sun,W 23-20,OT,5.0,8.200000000000001,NYJ
143,DEN,2007,2007-10-29,8:40,6:40,,GNB,8,7,Mon,L 13-19,OT,-6.0,-13.0,GNB
144,GNB,2007,2007-10-29,8:40,6:40,@,DEN,8,7,Mon,W 19-13,OT,6.0,13.0,GNB
145,DEN,2007,2007-09-16,4:15,2:15,,OAK,2,2,Sun,W 23-20,OT,3.0,2.0,DEN
146,DET,2007,2007-09-16,4:05,4:05,,MIN,2,2,Sun,W 20-17,OT,-1.0,-7.4,MIN
147,MIN,2007,2007-09-16,4:05,4:05,@,DET,2,2,Sun,L 17-20,OT,1.0,7.4,MIN
148,OAK,2007,2007-09-16,4:15,2:15,@,DEN,2,2,Sun,L 20-23,OT,-3.0,-2.0,DEN
149,MIA,2007,2007-09-09,1:02,1:02,@,WAS,1,1,Sun,L 13-16,OT,-8.0,-12.799999999999999,WAS
150,WAS,2007,2007-09-09,1:02,1:02,,MIA,1,1,Sun,W 16-13,OT,8.0,12.799999999999999,WAS
